
987, 1, 
987, 900@DX!teta: 1, 15, 15, vtx:, 10, 90, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
-15, -0.001241, of, 582, records,   speed:, -8.3e-05, 
-10, -0.000542, of, 609, records,   speed:, -5.4e-05, 
-5, 0.000299, of, 106, records,   speed:, 6e-05, 
5, 5.7e-05, of, 604, records,   speed:, 1.1e-05, 
10, 0.000665, of, 493, records,   speed:, 6.6e-05, 
15, 0.000829, of, 534, records,   speed:, 5.5e-05, 
20, 0.000402, of, 639, records,   speed:, 2e-05, 
25, 0.000716, of, 555, records,   speed:, 2.9e-05, 
30, -0.000217, of, 507, records,   speed:, -7e-06, 
35, -0.000123, of, 516, records,   speed:, -4e-06, 
40, 0.001197, of, 473, records,   speed:, 3e-05, 
45, 0.000971, of, 404, records,   speed:, 2.2e-05, 
50, 0.000302, of, 393, records,   speed:, 6e-06, 
55, 0.00036, of, 400, records,   speed:, 7e-06, 
60, -0.000289, of, 386, records,   speed:, -5e-06, 
65, 0.001153, of, 277, records,   speed:, 1.8e-05, 
70, 0.001843, of, 205, records,   speed:, 2.6e-05, 
75, 0.002608, of, 218, records,   speed:, 3.5e-05, 
80, 0.001968, of, 208, records,   speed:, 2.5e-05, 
85, 0.003094, of, 161, records,   speed:, 3.6e-05, 
90, 0.003684, of, 120, records,   speed:, 4.1e-05, 
95, 0.004007, of, 89, records,   speed:, 4.2e-05, 
100, 0.00401, of, 287, records,   speed:, 4e-05, 
-100, 0.00549, of, 821, records,   speed:, 5.5e-05, 
-95, 0.005804, of, 81, records,   speed:, 6.1e-05, 
-90, 0.005652, of, 108, records,   speed:, 6.3e-05, 
-85, 0.005542, of, 137, records,   speed:, 6.5e-05, 
-80, 0.005441, of, 156, records,   speed:, 6.8e-05, 
-75, 0.005533, of, 206, records,   speed:, 7.4e-05, 
-70, 0.004725, of, 267, records,   speed:, 6.7e-05, 
-65, 0.003584, of, 286, records,   speed:, 5.5e-05, 
-60, 0.004572, of, 260, records,   speed:, 7.6e-05, 
-55, 0.003935, of, 278, records,   speed:, 7.2e-05, 
-50, 0.004451, of, 385, records,   speed:, 8.9e-05, 
-45, 0.00432, of, 435, records,   speed:, 9.6e-05, 
-40, 0.004015, of, 503, records,   speed:, 0.0001, 
-35, 0.003997, of, 622, records,   speed:, 0.000114, 
-30, 0.003381, of, 644, records,   speed:, 0.000113, 
-25, 0.003884, of, 659, records,   speed:, 0.000155, 
-20, 0.004017, of, 628, records,   speed:, 0.000201, 
-15, 0.004154, of, 582, records,   speed:, 0.000277, 
-10, 0.004443, of, 609, records,   speed:, 0.000444, 
-5, 0.005315, of, 106, records,   speed:, 0.001063, 
5, 0.003961, of, 604, records,   speed:, 0.000792, 
10, 0.003694, of, 493, records,   speed:, 0.000369, 
15, 0.00397, of, 534, records,   speed:, 0.000265, 
20, 0.003836, of, 639, records,   speed:, 0.000192, 
25, 0.003786, of, 555, records,   speed:, 0.000151, 
30, 0.003698, of, 507, records,   speed:, 0.000123, 
35, 0.003641, of, 516, records,   speed:, 0.000104, 
40, 0.003917, of, 473, records,   speed:, 9.8e-05, 
45, 0.004074, of, 404, records,   speed:, 9.1e-05, 
50, 0.003333, of, 393, records,   speed:, 6.7e-05, 
