0.98, 900@DX!teta: 0.0, 15, 3, vtx:, 10, 90, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
2, 0.000736, of, 418, records,   speed:, 0.000368, 
3, 0.001245, of, 332, records,   speed:, 0.000415, 
4, 0.000886, of, 326, records,   speed:, 0.000222, 
5, 0.001093, of, 208, records,   speed:, 0.000219, 
6, 0.001879, of, 173, records,   speed:, 0.000313, 
7, 0.001993, of, 122, records,   speed:, 0.000285, 
8, 0.001257, of, 96, records,   speed:, 0.000157, 
9, 0.001831, of, 86, records,   speed:, 0.000203, 
10, 0.001315, of, 59, records,   speed:, 0.000131, 
11, 0.002413, of, 38, records,   speed:, 0.000219, 
12, 0.002204, of, 40, records,   speed:, 0.000184, 
13, 0.001234, of, 33, records,   speed:, 9.5e-05, 
14, 0.002484, of, 21, records,   speed:, 0.000177, 
15, 0.001541, of, 23, records,   speed:, 0.000103, 
16, 0.001583, of, 20, records,   speed:, 9.9e-05, 
17, 0.0007, of, 17, records,   speed:, 4.1e-05, 
18, 0.000407, of, 9, records,   speed:, 2.3e-05, 
19, 0.000907, of, 9, records,   speed:, 4.8e-05, 
20, 0.001602, of, 7, records,   speed:, 8e-05, 
-20, 0.002527, of, 8, records,   speed:, 0.000126, 
-19, 0.002316, of, 13, records,   speed:, 0.000122, 
-18, 0.00272, of, 11, records,   speed:, 0.000151, 
-17, 0.001853, of, 13, records,   speed:, 0.000109, 
-16, 0.00232, of, 13, records,   speed:, 0.000145, 
-15, 0.002732, of, 22, records,   speed:, 0.000182, 
-14, 0.002975, of, 23, records,   speed:, 0.000213, 
-13, 0.002531, of, 32, records,   speed:, 0.000195, 
-12, 0.002117, of, 32, records,   speed:, 0.000176, 
-11, 0.001657, of, 40, records,   speed:, 0.000151, 
-10, 0.002058, of, 63, records,   speed:, 0.000206, 
-9, 0.002396, of, 80, records,   speed:, 0.000266, 
-8, 0.002596, of, 111, records,   speed:, 0.000325, 
-7, 0.002302, of, 146, records,   speed:, 0.000329, 
-6, 0.002245, of, 207, records,   speed:, 0.000374, 
-5, 0.002293, of, 242, records,   speed:, 0.000459, 
-4, 0.002328, of, 284, records,   speed:, 0.000582, 
-3, 0.002351, of, 375, records,   speed:, 0.000784, 
-2, 0.002269, of, 426, records,   speed:, 0.001135, 
-1, 0.002387, of, 745, records,   speed:, 0.002387, 
1, 0.002427, of, 765, records,   speed:, 0.002427, 
2, 0.002331, of, 418, records,   speed:, 0.001166, 
3, 0.002693, of, 332, records,   speed:, 0.000898, 
4, 0.002292, of, 326, records,   speed:, 0.000573, 
5, 0.002659, of, 208, records,   speed:, 0.000532, 
6, 0.002734, of, 173, records,   speed:, 0.000456, 
7, 0.003074, of, 122, records,   speed:, 0.000439, 
8, 0.002517, of, 96, records,   speed:, 0.000315, 
9, 0.002898, of, 86, records,   speed:, 0.000322, 
10, 0.002559, of, 59, records,   speed:, 0.000256, 
11, 0.002861, of, 38, records,   speed:, 0.00026, 
12, 0.003046, of, 40, records,   speed:, 0.000254, 
13, 0.00306, of, 33, records,   speed:, 0.000235, 
14, 0.002869, of, 21, records,   speed:, 0.000205, 
15, 0.002238, of, 23, records,   speed:, 0.000149, 
16, 0.002164, of, 20, records,   speed:, 0.000135, 
17, 0.001927, of, 17, records,   speed:, 0.000113, 
18, 0.001033, of, 9, records,   speed:, 5.7e-05, 
19, 0.00185, of, 9, records,   speed:, 9.7e-05, 
20, 0.001602, of, 7, records,   speed:, 8e-05, 
AVG error:, -1.3e-05, of , 5848, records, 
AVGerrorSpeed:, -3.3e-05, of , 5848, records, 
AVGabsErr:, 0.002423, of , 5848, records speed, 
AVGabsErrSpeed:, 0.0010707, of , 5848, records speed, 
****************************************************************************************************, 
 , 
0.98, 900@DX!teta: 0.6, 15, 3, vtx:, 10, 90, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
-20, -0.001225, of, 5, records,   speed:, -6.1e-05, 
-19, -0.001058, of, 12, records,   speed:, -5.6e-05, 
-18, -0.001739, of, 18, records,   speed:, -9.7e-05, 
-17, -0.000828, of, 18, records,   speed:, -4.9e-05, 
-16, -0.000892, of, 19, records,   speed:, -5.6e-05, 
-15, -0.001174, of, 17, records,   speed:, -7.8e-05, 
-14, -0.001214, of, 28, records,   speed:, -8.7e-05, 
-13, -0.000922, of, 24, records,   speed:, -7.1e-05, 
-12, -0.001151, of, 41, records,   speed:, -9.6e-05, 
-11, -0.001036, of, 55, records,   speed:, -9.4e-05, 
-10, -0.001054, of, 78, records,   speed:, -0.000105, 
-9, -0.001647, of, 76, records,   speed:, -0.000183, 
-8, -0.001492, of, 116, records,   speed:, -0.000187, 
-7, -0.001339, of, 141, records,   speed:, -0.000191, 
-6, -0.001501, of, 218, records,   speed:, -0.00025, 
-5, -0.001347, of, 257, records,   speed:, -0.000269, 
-4, -0.001211, of, 280, records,   speed:, -0.000303, 
-3, -0.000876, of, 391, records,   speed:, -0.000292, 
-2, -0.000541, of, 403, records,   speed:, -0.00027, 
-1, -0.000437, of, 703, records,   speed:, -0.000437, 
1, 0.000138, of, 713, records,   speed:, 0.000138, 
2, 0.000859, of, 399, records,   speed:, 0.00043, 
3, 0.000757, of, 326, records,   speed:, 0.000252, 
4, 0.001049, of, 307, records,   speed:, 0.000262, 
5, 0.001326, of, 242, records,   speed:, 0.000265, 
6, 0.001415, of, 146, records,   speed:, 0.000236, 
7, 0.001544, of, 135, records,   speed:, 0.000221, 
8, 0.001886, of, 102, records,   speed:, 0.000236, 
