0.98, 1000@20, 15, 2, vtx:, 10, 90, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
36, 0.000122, of, 1, records,   speed:, 3e-06, 
37, 0.001978, of, 1, records,   speed:, 5.3e-05, 
38, 0.002635, of, 1, records,   speed:, 6.9e-05, 
39, -0.001875, of, 2, records,   speed:, -4.8e-05, 
41, 0.001821, of, 2, records,   speed:, 4.4e-05, 
43, 5.9e-05, of, 1, records,   speed:, 1e-06, 
45, 0.001755, of, 1, records,   speed:, 3.9e-05, 
46, 0.002843, of, 1, records,   speed:, 6.2e-05, 
47, -0.000629, of, 1, records,   speed:, -1.3e-05, 
51, -0.013191, of, 1, records,   speed:, -0.000259, 
61, 0.002843, of, 1, records,   speed:, 4.7e-05, 
69, 0.00041, of, 2, records,   speed:, 6e-06, 
75, -0.000246, of, 1, records,   speed:, -3e-06, 
90, 0.000153, of, 1, records,   speed:, 2e-06, 

0.98, 65000@DX!teta: 0.0, 15, 2, vtx:, 10, 90, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
-99, 0.00356, of, 1, records,   speed:, 3.6e-05, 
-75, -1e-06, of, 1, records,   speed:, -0.0, 
-73, 5e-06, of, 1, records,   speed:, 0.0, 
-63, -7.6e-05, of, 1, records,   speed:, -1e-06, 
-55, -2.3e-05, of, 1, records,   speed:, -0.0, 
-43, 0.000129, of, 1, records,   speed:, 3e-06, 
-41, -0.000637, of, 1, records,   speed:, -1.6e-05, 
-35, -0.000462, of, 1, records,   speed:, -1.3e-05, 
-33, -0.000914, of, 1, records,   speed:, -2.8e-05, 
-31, -0.000929, of, 1, records,   speed:, -3e-05, 
-30, -0.005283, of, 4, records,   speed:, -0.000176, 
-28, -0.000368, of, 2, records,   speed:, -1.3e-05, 
-27, 0.001448, of, 1, records,   speed:, 5.4e-05, 
-25, -0.002438, of, 1, records,   speed:, -9.8e-05, 
-24, -0.002341, of, 6, records,   speed:, -9.8e-05, 
-23, -0.006103, of, 2, records,   speed:, -0.000265, 
-22, -0.002058, of, 3, records,   speed:, -9.4e-05, 
-21, -0.002552, of, 3, records,   speed:, -0.000122, 
-20, 0.001051, of, 2, records,   speed:, 5.3e-05, 
-19, -0.00075, of, 6, records,   speed:, -3.9e-05, 
-18, -0.001688, of, 12, records,   speed:, -9.4e-05, 
-17, 9.8e-05, of, 9, records,   speed:, 6e-06, 
-16, -0.00107, of, 10, records,   speed:, -6.7e-05, 
-15, -0.001833, of, 11, records,   speed:, -0.000122, 
-14, -0.000407, of, 16, records,   speed:, -2.9e-05, 
-13, -0.000391, of, 30, records,   speed:, -3e-05, 
-12, -0.002692, of, 17, records,   speed:, -0.000224, 
-11, -0.001181, of, 29, records,   speed:, -0.000107, 
-10, -0.000894, of, 39, records,   speed:, -8.9e-05, 
-9, -0.001746, of, 48, records,   speed:, -0.000194, 
-8, -0.001906, of, 83, records,   speed:, -0.000238, 
-7, -0.001324, of, 96, records,   speed:, -0.000189, 
-6, -0.001367, of, 141, records,   speed:, -0.000228, 
-5, -0.001645, of, 176, records,   speed:, -0.000329, 
-4, -0.001225, of, 222, records,   speed:, -0.000306, 
-3, -0.001179, of, 276, records,   speed:, -0.000393, 
-2, -0.000923, of, 329, records,   speed:, -0.000461, 
-1, -0.00056, of, 599, records,   speed:, -0.00056, 
1, 0.000112, of, 592, records,   speed:, 0.000112, 
2, 0.00058, of, 301, records,   speed:, 0.00029, 
3, 0.001106, of, 265, records,   speed:, 0.000369, 
4, 0.001167, of, 195, records,   speed:, 0.000292, 
5, 0.001642, of, 132, records,   speed:, 0.000328, 
6, 0.001869, of, 103, records,   speed:, 0.000311, 
7, 0.001564, of, 78, records,   speed:, 0.000223, 
8, 0.001266, of, 63, records,   speed:, 0.000158, 
9, 0.00259, of, 40, records,   speed:, 0.000288, 
10, 0.001547, of, 38, records,   speed:, 0.000155, 
11, 0.001589, of, 29, records,   speed:, 0.000144, 
12, 0.002753, of, 26, records,   speed:, 0.000229, 
13, 0.001748, of, 23, records,   speed:, 0.000134, 
14, 0.003166, of, 9, records,   speed:, 0.000226, 
15, 0.001937, of, 20, records,   speed:, 0.000129, 
16, 0.001283, of, 14, records,   speed:, 8e-05, 
17, -3.6e-05, of, 4, records,   speed:, -2e-06, 
18, 0.002006, of, 6, records,   speed:, 0.000111, 
19, 0.001214, of, 5, records,   speed:, 6.4e-05, 
20, 0.002554, of, 4, records,   speed:, 0.000128, 
21, 0.001985, of, 2, records,   speed:, 9.5e-05, 
22, 0.001264, of, 4, records,   speed:, 5.7e-05, 
23, 0.000378, of, 1, records,   speed:, 1.6e-05, 
24, 0.001592, of, 1, records,   speed:, 6.6e-05, 
25, 0.001897, of, 3, records,   speed:, 7.6e-05, 
26, 0.002634, of, 1, records,   speed:, 0.000101, 
27, 0.00315, of, 1, records,   speed:, 0.000117, 
29, 0.001788, of, 2, records,   speed:, 6.2e-05, 
31, 0.003215, of, 2, records,   speed:, 0.000104, 
32, 0.001978, of, 1, records,   speed:, 6.2e-05, 
34, -0.00487, of, 1, records,   speed:, -0.000143, 
35, 0.002186, of, 1, records,   speed:, 6.2e-05, 
37, 0.002843, of, 1, records,   speed:, 7.7e-05, 
38, 0.000334, of, 1, records,   speed:, 9e-06, 
40, 0.001094, of, 3, records,   speed:, 2.7e-05, 
41, 0.001119, of, 1, records,   speed:, 2.7e-05, 
42, 0.002793, of, 1, records,   speed:, 6.6e-05, 
44, -0.000629, of, 1, records,   speed:, -1.4e-05, 
47, 5.9e-05, of, 1, records,   speed:, 1e-06, 
53, 0.004177, of, 1, records,   speed:, 7.9e-05, 
66, 0.000153, of, 1, records,   speed:, 2e-06, 
0.98, 65000@DX!teta: 1.1, 15, 2, vtx:, 10, 90, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
-96, 0.00356, of, 1, records,   speed:, 3.7e-05, 
-82, 0.000662, of, 1, records,   speed:, 8e-06, 
-76, 0.003528, of, 1, records,   speed:, 4.6e-05, 
-73, 0.00039, of, 1, records,   speed:, 5e-06, 
-69, -0.001145, of, 1, records,   speed:, -1.7e-05, 
-62, -1e-06, of, 1, records,   speed:, -0.0, 
-57, -0.000182, of, 1, records,   speed:, -3e-06, 
-56, 0.004325, of, 1, records,   speed:, 7.7e-05, 
-53, -0.0, of, 1, records,   speed:, -0.0, 
-50, -0.000637, of, 1, records,   speed:, -1.3e-05, 
-48, -0.000297, of, 1, records,   speed:, -6e-06, 
-45, 0.001448, of, 1, records,   speed:, 3.2e-05, 
-44, -2.4e-05, of, 1, records,   speed:, -1e-06, 
-43, 0.001742, of, 2, records,   speed:, 4.1e-05, 
-42, -0.002564, of, 1, records,   speed:, -6.1e-05, 
-41, -0.002438, of, 1, records,   speed:, -5.9e-05, 
-39, -0.001542, of, 3, records,   speed:, -4e-05, 
-38, -0.006653, of, 2, records,   speed:, -0.000175, 
-37, -0.002271, of, 4, records,   speed:, -6.1e-05, 
-36, 0.002132, of, 1, records,   speed:, 5.9e-05, 
-35, -0.000822, of, 1, records,   speed:, -2.3e-05, 
-33, -0.001386, of, 1, records,   speed:, -4.2e-05, 
-32, -0.001163, of, 3, records,   speed:, -3.6e-05, 
-31, -0.003056, of, 1, records,   speed:, -9.9e-05, 
-29, -0.001887, of, 7, records,   speed:, -6.5e-05, 
-27, -0.003684, of, 5, records,   speed:, -0.000136, 
-26, 0.000154, of, 1, records,   speed:, 6e-06, 
-25, -0.001423, of, 6, records,   speed:, -5.7e-05, 
-24, -0.000559, of, 4, records,   speed:, -2.3e-05, 
-23, -0.001443, of, 4, records,   speed:, -6.3e-05, 
-22, 0.000879, of, 6, records,   speed:, 4e-05, 
-21, -0.002554, of, 12, records,   speed:, -0.000122, 
-20, -0.001207, of, 14, records,   speed:, -6e-05, 
-19, -0.001611, of, 10, records,   speed:, -8.5e-05, 
-18, -0.001194, of, 8, records,   speed:, -6.6e-05, 
-17, -0.001232, of, 12, records,   speed:, -7.2e-05, 
-16, 0.000499, of, 10, records,   speed:, 3.1e-05, 
-15, -0.001642, of, 20, records,   speed:, -0.000109, 
-14, -0.000891, of, 33, records,   speed:, -6.4e-05, 
-13, -0.001539, of, 22, records,   speed:, -0.000118, 
-12, -0.001104, of, 30, records,   speed:, -9.2e-05, 
-11, -0.002191, of, 49, records,   speed:, -0.000199, 
-10, -0.000734, of, 58, records,   speed:, -7.3e-05, 
-9, -0.001311, of, 78, records,   speed:, -0.000146, 
-8, -0.002307, of, 90, records,   speed:, -0.000288, 
-7, -0.001202, of, 110, records,   speed:, -0.000172, 
-6, -0.001644, of, 153, records,   speed:, -0.000274, 
-5, -0.001466, of, 179, records,   speed:, -0.000293, 
-4, -0.00138, of, 223, records,   speed:, -0.000345, 
-3, -0.000718, of, 282, records,   speed:, -0.000239, 
-2, -0.000745, of, 271, records,   speed:, -0.000373, 
-1, -0.000345, of, 486, records,   speed:, -0.000345, 
1, 0.000238, of, 485, records,   speed:, 0.000238, 
2, 0.000358, of, 259, records,   speed:, 0.000179, 
3, 0.000596, of, 240, records,   speed:, 0.000199, 
4, 0.001049, of, 175, records,   speed:, 0.000262, 
5, 0.001616, of, 167, records,   speed:, 0.000323, 
6, 0.001012, of, 100, records,   speed:, 0.000169, 
7, 0.00076, of, 103, records,   speed:, 0.000109, 
8, 0.00182, of, 76, records,   speed:, 0.000227, 
9, 0.001602, of, 84, records,   speed:, 0.000178, 
10, 0.001809, of, 54, records,   speed:, 0.000181, 
11, 0.001679, of, 33, records,   speed:, 0.000153, 
12, 0.002868, of, 29, records,   speed:, 0.000239, 
13, 0.003443, of, 30, records,   speed:, 0.000265, 
14, 0.000692, of, 21, records,   speed:, 4.9e-05, 
15, 0.000747, of, 14, records,   speed:, 5e-05, 
16, 0.00161, of, 22, records,   speed:, 0.000101, 
17, 0.002462, of, 12, records,   speed:, 0.000145, 
18, 0.001083, of, 13, records,   speed:, 6e-05, 
19, 0.000549, of, 15, records,   speed:, 2.9e-05, 
20, 0.00024, of, 9, records,   speed:, 1.2e-05, 
21, 0.000729, of, 8, records,   speed:, 3.5e-05, 
22, 0.001389, of, 6, records,   speed:, 6.3e-05, 
23, 0.002652, of, 4, records,   speed:, 0.000115, 
24, -0.00074, of, 8, records,   speed:, -3.1e-05, 
25, -0.000227, of, 5, records,   speed:, -9e-06, 
26, 0.001738, of, 9, records,   speed:, 6.7e-05, 
27, 0.002846, of, 4, records,   speed:, 0.000105, 
28, 0.001164, of, 4, records,   speed:, 4.2e-05, 
29, 0.002749, of, 3, records,   speed:, 9.5e-05, 
30, 0.000748, of, 4, records,   speed:, 2.5e-05, 
31, 0.002092, of, 3, records,   speed:, 6.7e-05, 
32, -0.003295, of, 1, records,   speed:, -0.000103, 
33, 0.000694, of, 1, records,   speed:, 2.1e-05, 
34, 0.002324, of, 2, records,   speed:, 6.8e-05, 
35, 0.003138, of, 2, records,   speed:, 9e-05, 
37, 0.000797, of, 3, records,   speed:, 2.2e-05, 
38, 0.001978, of, 1, records,   speed:, 5.2e-05, 
39, 0.001119, of, 1, records,   speed:, 2.9e-05, 
40, -0.001117, of, 2, records,   speed:, -2.8e-05, 
41, 0.000334, of, 1, records,   speed:, 8e-06, 
42, 5.9e-05, of, 1, records,   speed:, 1e-06, 
45, 0.003309, of, 1, records,   speed:, 7.4e-05, 
47, 0.001323, of, 3, records,   speed:, 2.8e-05, 
60, -0.013191, of, 1, records,   speed:, -0.00022, 
64, 0.002843, of, 1, records,   speed:, 4.4e-05, 
71, 0.004177, of, 1, records,   speed:, 5.9e-05, 
78, -0.003357, of, 1, records,   speed:, -4.3e-05, 
82, -0.000246, of, 1, records,   speed:, -3e-06, 
93, 0.000448, of, 2, records,   speed:, 5e-06, 
0.98, 65000@DX!teta: 0.5, 15, 2, vtx:, 10, 90, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
-98, 0.00356, of, 1, records,   speed:, 3.6e-05, 
-92, -1e-06, of, 1, records,   speed:, -0.0, 
-89, 0.00039, of, 1, records,   speed:, 4e-06, 
-74, 0.002259, of, 1, records,   speed:, 3.1e-05, 
-58, 0.002443, of, 1, records,   speed:, 4.2e-05, 
-45, -0.000637, of, 1, records,   speed:, -1.4e-05, 
-41, 0.000662, of, 1, records,   speed:, 1.6e-05, 
-36, 0.001022, of, 3, records,   speed:, 2.8e-05, 
-35, 0.000267, of, 2, records,   speed:, 8e-06, 
-34, -0.002589, of, 1, records,   speed:, -7.6e-05, 
-33, -0.001145, of, 1, records,   speed:, -3.5e-05, 
-32, -0.002438, of, 1, records,   speed:, -7.6e-05, 
-30, -0.001647, of, 4, records,   speed:, -5.5e-05, 
-29, -0.000745, of, 3, records,   speed:, -2.6e-05, 
-28, -0.001026, of, 2, records,   speed:, -3.7e-05, 
-27, -0.003015, of, 5, records,   speed:, -0.000112, 
-26, 0.000323, of, 2, records,   speed:, 1.2e-05, 
-25, -0.005287, of, 3, records,   speed:, -0.000211, 
-24, -0.003143, of, 2, records,   speed:, -0.000131, 
-23, -0.001317, of, 7, records,   speed:, -5.7e-05, 
-22, -0.001387, of, 4, records,   speed:, -6.3e-05, 
-21, -0.001359, of, 6, records,   speed:, -6.5e-05, 
-20, -0.00096, of, 4, records,   speed:, -4.8e-05, 
-19, -0.000987, of, 7, records,   speed:, -5.2e-05, 
-18, -0.001579, of, 11, records,   speed:, -8.8e-05, 
