0.993, 100000@20, 15, 1, vtx:, 10, 90, 
18, 0.000397, of, 2, records,   speed:, 2.2e-05, 
19, 0.003844, of, 4, records,   speed:, 0.000202, 
20, 0.002426, of, 1, records,   speed:, 0.000121, 
21, 0.00467, of, 2, records,   speed:, 0.000222, 
23, 0.009627, of, 1, records,   speed:, 0.000419, 
25, 0.003824, of, 1, records,   speed:, 0.000153, 
26, 0.003943, of, 1, records,   speed:, 0.000152, 
31, -0.001266, of, 1, records,   speed:, -4.1e-05, 
32, 0.002559, of, 1, records,   speed:, 8e-05, 
37, 0.006078, of, 1, records,   speed:, 0.000164, 
0.993, 100000@20, 15, 10, vtx:, 10, 90, 
sigma: , 9, 
['950:', 0.006576], 
------------------------------, 
****************************************, 
-73, -0.003668, of, 1, records,   speed:, -5e-05, 
-51, -0.002921, of, 1, records,   speed:, -5.7e-05, 
-41, -0.004373, of, 1, records,   speed:, -0.000107, 
-35, -0.009756, of, 1, records,   speed:, -0.000279, 
-32, -0.003077, of, 2, records,   speed:, -9.6e-05, 
-31, -0.004063, of, 2, records,   speed:, -0.000131, 
-30, 0.002319, of, 1, records,   speed:, 7.7e-05, 
-28, -0.004865, of, 1, records,   speed:, -0.000174, 
-25, -0.005003, of, 1, records,   speed:, -0.0002, 
-24, -7.4e-05, of, 1, records,   speed:, -3e-06, 
-23, -0.004339, of, 1, records,   speed:, -0.000189, 
-22, -0.000545, of, 1, records,   speed:, -2.5e-05, 
-21, -0.004264, of, 3, records,   speed:, -0.000203, 
-20, -0.007453, of, 5, records,   speed:, -0.000373, 
-19, -0.004828, of, 7, records,   speed:, -0.000254, 
-18, -0.002845, of, 4, records,   speed:, -0.000158, 
-17, -0.003854, of, 10, records,   speed:, -0.000227, 
-16, -0.001951, of, 13, records,   speed:, -0.000122, 
-15, -0.008186, of, 8, records,   speed:, -0.000546, 
-14, -0.004886, of, 8, records,   speed:, -0.000349, 
-13, -0.006915, of, 20, records,   speed:, -0.000532, 
-12, -0.008313, of, 41, records,   speed:, -0.000693, 
-11, -0.017899, of, 63, records,   speed:, -0.001627, 
-10, -0.009466, of, 47, records,   speed:, -0.000947, 
-9, -0.01068, of, 104, records,   speed:, -0.001187, 
-8, -0.008452, of, 128, records,   speed:, -0.001056, 
-7, -0.008096, of, 144, records,   speed:, -0.001157, 
-6, -0.004973, of, 159, records,   speed:, -0.000829, 
-5, -0.004737, of, 244, records,   speed:, -0.000947, 
-4, -0.002689, of, 265, records,   speed:, -0.000672, 
-3, -0.002883, of, 317, records,   speed:, -0.000961, 
-2, -0.001418, of, 412, records,   speed:, -0.000709, 
-1, -0.001117, of, 400, records,   speed:, -0.001117, 
1, -1.1e-05, of, 420, records,   speed:, -1.1e-05, 
2, 0.00163, of, 413, records,   speed:, 0.000815, 
3, 0.003311, of, 350, records,   speed:, 0.001104, 
4, 0.005009, of, 287, records,   speed:, 0.001252, 
5, 0.005087, of, 243, records,   speed:, 0.001017, 
6, 0.006663, of, 225, records,   speed:, 0.00111, 
7, 0.00932, of, 144, records,   speed:, 0.001331, 
8, 0.010892, of, 102, records,   speed:, 0.001362, 
9, 0.008849, of, 124, records,   speed:, 0.000983, 
10, 0.011054, of, 72, records,   speed:, 0.001105, 
11, 0.008698, of, 42, records,   speed:, 0.000791, 
12, 0.007481, of, 38, records,   speed:, 0.000623, 
13, 0.007947, of, 22, records,   speed:, 0.000611, 
14, 0.009034, of, 16, records,   speed:, 0.000645, 
15, 0.007702, of, 5, records,   speed:, 0.000513, 
16, 5.6e-05, of, 5, records,   speed:, 3e-06, 
17, 0.00111, of, 4, records,   speed:, 6.5e-05, 
18, 0.00282, of, 2, records,   speed:, 0.000157, 
19, 0.002969, of, 4, records,   speed:, 0.000156, 
20, 0.001226, of, 2, records,   speed:, 6.1e-05, 
21, 0.003284, of, 2, records,   speed:, 0.000156, 
23, 0.006834, of, 1, records,   speed:, 0.000297, 
25, 0.00381, of, 1, records,   speed:, 0.000152, 
26, 0.002657, of, 1, records,   speed:, 0.000102, 
31, 0.000328, of, 1, records,   speed:, 1.1e-05, 
32, -0.00147, of, 1, records,   speed:, -4.6e-05, 
37, 0.008123, of, 1, records,   speed:, 0.00022, 
